product_id,product_name,category,brand,unit_price,stock_quantity,weight_kg
P0001,Pioneer Storage 001,Storage,Pioneer,60431.61,61,0.215
P0002,Nimbus Monitor 002,Monitor,Nimbus,74094.63,239,4.407
P0003,Aster Storage 003,Storage,Aster,34830.5,53,6.358
P0004,Vertex Phone 004,Phone,Vertex,20008.31,27,6.199
P0005,Orion Storage 005,Storage,Orion,76614.51,109,5.168
P0006,Nimbus Phone 006,Phone,Nimbus,43745.46,108,2.033
P0007,Nova Phone 007,Phone,Nova,84796.84,147,5.45
P0008,Orion Storage 008,Storage,Orion,74094.55,151,1.54
P0009,Vertex Accessory 009,Accessory,Vertex,3469.37,151,3.732
P0010,Nova Monitor 010,Monitor,Nova,3587.84,81,6.675
P0011,Pioneer Accessory 011,Accessory,Pioneer,54100.39,206,5.775
P0012,Nimbus Phone 012,Phone,Nimbus,30254.28,220,4.431
P0013,Aster Storage 013,Storage,Aster,52132.62,30,6.345
P0014,Nimbus Accessory 014,Accessory,Nimbus,45468.73,24,1.461
P0015,Nimbus Laptop 015,Laptop,Nimbus,61885.55,10,7.318
P0016,Pioneer Phone 016,Phone,Pioneer,47575.27,111,7.363
P0017,Pioneer Accessory 017,Accessory,Pioneer,54718.64,189,5.526
P0018,Nimbus Accessory 018,Accessory,Nimbus,7911.54,159,0.459
P0019,Nimbus Phone 019,Phone,Nimbus,40915.86,175,4.574
P0020,Pioneer Accessory 020,Accessory,Pioneer,67536.45,243,0.114
P0021,Orion Tablet 021,Tablet,Orion,42820.18,133,5.446
P0022,Orion Storage 022,Storage,Orion,74399.95,169,1.488
P0023,Pioneer Storage 023,Storage,Pioneer,34595.64,117,1.132
P0024,Vertex Phone 024,Phone,Vertex,68971.99,155,2.825
P0025,Nova Tablet 025,Tablet,Nova,32069.56,44,0.13
P0026,Nimbus Laptop 026,Laptop,Nimbus,37721.39,158,2.221
P0027,Aster Storage 027,Storage,Aster,79362.5,164,7.729
P0028,Pioneer Phone 028,Phone,Pioneer,15759.73,190,7.669
P0029,Nova Storage 029,Storage,Nova,10269.2,205,5.328
P0030,Orion Tablet 030,Tablet,Orion,79001.63,169,7.828
P0031,Nova Phone 031,Phone,Nova,14750.09,73,2.787
P0032,Nova Accessory 032,Accessory,Nova,22697.1,19,1.118
P0033,Aster Storage 033,Storage,Aster,82373.12,236,1.883
P0034,Pioneer Phone 034,Phone,Pioneer,32747.07,133,1.802
P0035,Orion Storage 035,Storage,Orion,31057.54,48,6.893
P0036,Aster Storage 036,Storage,Aster,43539.79,187,2.416
P0037,Aster Monitor 037,Monitor,Aster,9506.82,35,0.844
P0038,Aster Phone 038,Phone,Aster,28028.54,236,0.586
P0039,Nova Accessory 039,Accessory,Nova,32610.27,166,7.784
P0040,Aster Phone 040,Phone,Aster,1350.65,141,7.712
P0041,Aster Phone 041,Phone,Aster,48669.4,239,1.984
P0042,Aster Phone 042,Phone,Aster,61339.92,197,0.131
P0043,Aster Phone 043,Phone,Aster,51922.36,89,4.118
